,columns,missing values count
160,Sensor - 161,10
161,Sensor - 162,10
162,Sensor - 163,10
163,Sensor - 164,10
164,Sensor - 165,10
165,Sensor - 166,10
166,Sensor - 167,10
167,Sensor - 168,10
168,Sensor - 169,10
169,Sensor - 170,10
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,140
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,10
191,Sensor - 192,10
192,Sensor - 193,10
193,Sensor - 194,10
194,Sensor - 195,10
195,Sensor - 196,10
196,Sensor - 197,50
197,Sensor - 198,50
198,Sensor - 199,50
199,Sensor - 200,50
200,Sensor - 201,50
201,Sensor - 202,50
202,Sensor - 203,50
203,Sensor - 204,50
204,Sensor - 205,50
205,Sensor - 206,50
206,Sensor - 207,50
207,Sensor - 208,50
208,Sensor - 209,50
209,Sensor - 210,50
210,Sensor - 211,240
211,Sensor - 212,240
212,Sensor - 213,240
213,Sensor - 214,240
214,Sensor - 215,240
215,Sensor - 216,240
216,Sensor - 217,240
217,Sensor - 218,240
218,Sensor - 219,10
219,Sensor - 220,20
220,Sensor - 221,6110
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,510
225,Sensor - 226,510
226,Sensor - 227,50
227,Sensor - 228,20
228,Sensor - 229,20
229,Sensor - 230,50
230,Sensor - 231,50
231,Sensor - 232,50
232,Sensor - 233,50
233,Sensor - 234,50
234,Sensor - 235,50
235,Sensor - 236,50
236,Sensor - 237,50
237,Sensor - 238,50
238,Sensor - 239,20
239,Sensor - 240,20
240,Sensor - 241,50
241,Sensor - 242,50
242,Sensor - 243,50
243,Sensor - 244,50
244,Sensor - 245,2880
245,Sensor - 246,2880
246,Sensor - 247,2880
247,Sensor - 248,5570
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,240
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,30
257,Sensor - 258,30
258,Sensor - 259,30
259,Sensor - 260,30
260,Sensor - 261,30
261,Sensor - 262,30
262,Sensor - 263,30
263,Sensor - 264,30
264,Sensor - 265,30
265,Sensor - 266,30
266,Sensor - 267,30
267,Sensor - 268,30
268,Sensor - 269,30
269,Sensor - 270,30
270,Sensor - 271,0
271,Sensor - 272,10
272,Sensor - 273,30
273,Sensor - 274,130
274,Sensor - 275,130
275,Sensor - 276,130
276,Sensor - 277,130
277,Sensor - 278,130
278,Sensor - 279,80
279,Sensor - 280,20
280,Sensor - 281,20
281,Sensor - 282,20
282,Sensor - 283,20
283,Sensor - 284,20
284,Sensor - 285,30
285,Sensor - 286,30
286,Sensor - 287,30
287,Sensor - 288,30
288,Sensor - 289,30
289,Sensor - 290,30
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,7710
293,Sensor - 294,7710
294,Sensor - 295,10
295,Sensor - 296,10
296,Sensor - 297,10
297,Sensor - 298,10
298,Sensor - 299,10
299,Sensor - 300,10
300,Sensor - 301,10
301,Sensor - 302,10
302,Sensor - 303,10
303,Sensor - 304,10
304,Sensor - 305,10
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,140
314,Sensor - 315,140
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,10
327,Sensor - 328,10
328,Sensor - 329,10
329,Sensor - 330,10
330,Sensor - 331,10
331,Sensor - 332,10
332,Sensor - 333,50
333,Sensor - 334,50
334,Sensor - 335,50
335,Sensor - 336,50
336,Sensor - 337,50
337,Sensor - 338,50
338,Sensor - 339,50
339,Sensor - 340,50
340,Sensor - 341,50
341,Sensor - 342,50
342,Sensor - 343,50
343,Sensor - 344,50
344,Sensor - 345,50
345,Sensor - 346,5300
346,Sensor - 347,5300
347,Sensor - 348,50
348,Sensor - 349,240
349,Sensor - 350,240
350,Sensor - 351,240
351,Sensor - 352,240
352,Sensor - 353,240
353,Sensor - 354,240
354,Sensor - 355,240
355,Sensor - 356,240
356,Sensor - 357,10
357,Sensor - 358,20
358,Sensor - 359,6110
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,510
363,Sensor - 364,510
364,Sensor - 365,50
365,Sensor - 366,20
366,Sensor - 367,20
367,Sensor - 368,50
368,Sensor - 369,50
369,Sensor - 370,50
370,Sensor - 371,50
371,Sensor - 372,50
372,Sensor - 373,50
373,Sensor - 374,50
374,Sensor - 375,50
375,Sensor - 376,50
376,Sensor - 377,20
377,Sensor - 378,20
378,Sensor - 379,50
379,Sensor - 380,50
380,Sensor - 381,50
381,Sensor - 382,50
382,Sensor - 383,2880
383,Sensor - 384,2880
384,Sensor - 385,2880
385,Sensor - 386,5570
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,240
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,30
395,Sensor - 396,30
396,Sensor - 397,30
397,Sensor - 398,30
398,Sensor - 399,30
399,Sensor - 400,30
400,Sensor - 401,30
401,Sensor - 402,30
402,Sensor - 403,30
403,Sensor - 404,30
404,Sensor - 405,30
405,Sensor - 406,30
406,Sensor - 407,30
407,Sensor - 408,30
408,Sensor - 409,0
409,Sensor - 410,10
410,Sensor - 411,30
411,Sensor - 412,130
412,Sensor - 413,130
413,Sensor - 414,130
414,Sensor - 415,130
415,Sensor - 416,130
416,Sensor - 417,80
417,Sensor - 418,20
418,Sensor - 419,20
419,Sensor - 420,20
420,Sensor - 421,20
421,Sensor - 422,20
422,Sensor - 423,30
423,Sensor - 424,30
424,Sensor - 425,30
425,Sensor - 426,30
426,Sensor - 427,30
427,Sensor - 428,30
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,10
431,Sensor - 432,10
432,Sensor - 433,10
433,Sensor - 434,10
434,Sensor - 435,10
435,Sensor - 436,10
436,Sensor - 437,10
437,Sensor - 438,10
438,Sensor - 439,10
439,Sensor - 440,10
440,Sensor - 441,10
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,140
450,Sensor - 451,140
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,10
463,Sensor - 464,10
464,Sensor - 465,10
465,Sensor - 466,10
466,Sensor - 467,10
467,Sensor - 468,10
468,Sensor - 469,50
469,Sensor - 470,50
470,Sensor - 471,50
471,Sensor - 472,50
472,Sensor - 473,50
473,Sensor - 474,50
474,Sensor - 475,50
475,Sensor - 476,50
476,Sensor - 477,50
477,Sensor - 478,50
478,Sensor - 479,50
479,Sensor - 480,50
480,Sensor - 481,50
481,Sensor - 482,50
482,Sensor - 483,240
483,Sensor - 484,240
484,Sensor - 485,240
485,Sensor - 486,240
486,Sensor - 487,240
487,Sensor - 488,240
488,Sensor - 489,240
489,Sensor - 490,240
490,Sensor - 491,10
491,Sensor - 492,20
492,Sensor - 493,6110
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,510
497,Sensor - 498,510
498,Sensor - 499,50
499,Sensor - 500,20
500,Sensor - 501,20
501,Sensor - 502,50
502,Sensor - 503,50
503,Sensor - 504,50
504,Sensor - 505,50
505,Sensor - 506,50
506,Sensor - 507,50
507,Sensor - 508,50
508,Sensor - 509,50
509,Sensor - 510,50
510,Sensor - 511,20
511,Sensor - 512,20
512,Sensor - 513,50
513,Sensor - 514,50
514,Sensor - 515,50
515,Sensor - 516,50
516,Sensor - 517,2880
517,Sensor - 518,2880
518,Sensor - 519,2880
519,Sensor - 520,5570
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,240
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,30
529,Sensor - 530,30
530,Sensor - 531,30
531,Sensor - 532,30
532,Sensor - 533,30
533,Sensor - 534,30
534,Sensor - 535,30
535,Sensor - 536,30
536,Sensor - 537,30
537,Sensor - 538,30
538,Sensor - 539,30
539,Sensor - 540,30
540,Sensor - 541,30
541,Sensor - 542,30
542,Sensor - 543,20
543,Sensor - 544,20
544,Sensor - 545,20
545,Sensor - 546,20
546,Sensor - 547,730
547,Sensor - 548,730
548,Sensor - 549,730
549,Sensor - 550,730
550,Sensor - 551,730
551,Sensor - 552,730
552,Sensor - 553,730
553,Sensor - 554,730
554,Sensor - 555,730
555,Sensor - 556,730
556,Sensor - 557,730
557,Sensor - 558,730
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,150
563,Sensor - 564,150
564,Sensor - 565,150
565,Sensor - 566,150
566,Sensor - 567,150
567,Sensor - 568,150
568,Sensor - 569,150
569,Sensor - 570,150
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,5020
579,Sensor - 580,5020
580,Sensor - 581,5020
581,Sensor - 582,5020
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
